title,authors,related_journal,date
Vom Kursprojekt zum Reengineering der Bildungsprozesse,Back Andrea,null,2004
Workplace e-Collaboration in Practice: Practical Guidelines for Implementing e-Collaboration in Organizations,Mayrhofer David; Back Andrea,null,2004
E-Learning und Wissensmanagement zusammenführen,Back Andrea,null,2002
Entscheidungsunterstützungssysteme,Back Andrea,null,2002
Lern- und Wissensportale in Corporate Universities,Back Andrea; Bendel Oliver,null,2002
Wissensnetzwerke: Das neue Instrument für die Förderung von Wissensaustausch und Wissensentwicklung im Unternehmen,Enkel Ellen; Back Andrea,null,2002
Avatar,Bendel Oliver,null,2001
Critical Success Factors (CSF),Back Andrea,null,2001
E-Learning,Bendel Oliver; Stoller-Schai Daniel,null,2001
Executive Information System (EIS),Back Andrea; Seufert Andreas,null,2001
Virtual Reality,Back Andrea,null,2001
Massenspeicher magnetischer,Müller Jochen,null,2001
Telelernen,Back Andrea; Weiser Christian,null,1997
Wissensnetzwerke: Vision - Referenzmodell - Archetypen und Fallbeispiele,Back Andrea; Seufert Andreas; von Krogh G.,null,1999
Zum Verhältnis von informationstechnologischer und gesellschaftlicher Entwicklung: Bildung für Informationstechnik - Informationstechnik für Bildung,Österle Hubert; Back Andrea,null,1997
Management Informationssysteme,Back Andrea,null,1996
Executive Information Systems,Back Andrea; Rieger B.; Seufert Andreas,null,1997
Lernen im Cyberspace: Die Zukunft der Wissensentwicklung und Bildungsdienstleistung?,Back Andrea,null,2000
Implementierung und Nutzung der Prozesskostenrechnung,Back Andrea,null,1995
Coworking aus Unternehmenssicht II: Out of Office – into the Flow?,Josef Barbara; Sapegina Anastasia; Back Andrea; Weibel Antoinette,null,January 2019
Wearable Business Solutions – Herleitung und Auswirkung auf die Value Creation durch Unternehmen im Jahr 2021 mittels Szenariotechnik und Delphimethode,Heusler Noemi; Back Andrea,null,August 2016
Critical Factors Influencing Innovation Diffusion on Corporate Websites,Zollet Roman; Back Andrea,null,2014
Data Mining and Social Network Analysis of Ideation Contests : A Repeated Measures Design,Walter Thomas; Back Andrea,null,2013
Agile Innovation for Next Generation Mobile Business,Guggisberg Vanessa; Back Andrea,null,December 2017
Construction of a Method for Assessing the Likelihood of Burnout of Global ERP Programmes,Seidel Gunter; Back Andrea,null,1 March 2010
State-of-the-Art on Maturity Models for Collaboration,Hain Stefanie; Back Andrea,null,1 October 2009
Coworking aus Unternehmenssicht – Serendipity-Biotop oder Fluchtort?,Josef Barbara; Back Andrea,null,December 2016
Newsaggregatoren-Software - ein Marktüberblick,Heidecke Florian; Back Andrea,null,1 April 2007
Ich habe fertig - aus der Sicht der Mertens-Zauberlehrlinge (Laudatio gehalten an der WISO in Nürnberg am 10. Januar 2006 Emeritierung Prof. Dr. Peter Mertens),Back Andrea,null,1 January 2006
Current State Analysis and Identification of Opportunities in Roche's Sales Force Training,Heidecke Florian; Mayrhofer David; Back Andrea; Schiesser Andreas,null,1 February 2005
Beiträge der Balanced Scorecard für ein nachhaltiges E-Learning im Unternehmen,Leithner Barbara; Back Andrea,null,1 April 2004
Blended-Learning-Projekte im Unternehmen,Keller Miriam; Back Andrea,null,1 April 2004
Web-Conferencing Software Tools: A Comprehensive Market Survey,Mayrhofer David; Back Andrea; Hubschmid Roger,null,1 April 2004
Web-Conferencing Software Tools: Evaluierung der Marktführer,Mayrhofer David; Back Andrea; Hubschmid Roger,null,1 April 2004
Informationsversorgung des Staates in der Informationsgesellschaft,Bendel Oliver; Back Andrea,null,1 April 2003
Lernen im Medienverbund: Nachhaltigkeit von Aus- und Weiterbildung der Polizei BaWü,Bendel Oliver; Leithner Barbara; Keller Miriam; Back Andrea,null,1 April 2003
How Knowledge Networks in practice look like: Findings from an international survey,Enkel Ellen; Wicki Yvonne,null,2002
Workplace E-Collaboration: Theoretical Foundations and Practical Implications,Mayrhofer David; Back Andrea,null,1 April 2003
Potenziale pädagogischer Agenten,Bendel Oliver; Schnoering Katharina; Back Andrea,null,15 January 2002
Creating a Competency Model for Swissair and Sabena,Keller Miriam; Leithner Barbara; Schnoering Katharina; Bursian Olaf; Bendel Oliver; Back Andrea,null,7 January 2002
Perspectives for our partners. Innovation and the network option,Rumyantseva Maria; Enkel Ellen; Gurgul Grzegorz,null,2002
Virtuelle Kooperation - Erhaltung des Antriebs. (Virtual cooperation - Supporting the drive). Knowledge Integration after Mergers & Acquisitions in RWE,Gurgul Grzegorz; Enkel Ellen; Schulte K.,null,2002
Knowledge Network - Survey Findings (internal Paper),Wicki Yvonne; Enkel Ellen; Seufert Andreas; Back Andrea; von Krogh Georg,null,1 October 2001
Neue Lerntechnologien (NLT) in Schweizerischen Industrieunternehmen,Back Andrea; Bursian Olaf,null,1 August 2001
Qualitative und ökonomische Potenziale der Einführung eines LMS in der Credit Suisse,Bendel Oliver; Bursian Olaf; Oberlin Karin; Keller Miriam; Leithner Barbara; Back Andrea,null,1 June 2001
Lernen mit elektronischen Medien: Projekt E-Learning der UBS AG Zürich,Bursian Olaf; Bendel Oliver; Isler A.; Martin Gunnar; Leithner Barbara; Keller Miriam; Back Andrea,null,1 May 2001
Betreibermodell und Anreizsystem für Multimedia-gestützte Studiengänge im Weiterbildungsmarkt,Leithner Barbara; Keller Miriam; Bursian Olaf; Bendel Oliver; Back Andrea,null,14 March 2001
Fostering New Ventures: Organisational conditions for New Ventures in Unilever,van Wegen B.; Makarevitch Alexei; Kayser T.; Enkel Ellen,null,2001
Perspective for our partners: Innovation Knowledge creation Customer Integration and Launching new Ventures,Enkel Ellen; Gibbert Michael; Makarevitch Alexei; Vassiliadis Stefanos,null,2001
Perspective for our partners: Boundaries of the firm,Enkel Ellen; Gibbert Michael; Makarevitch Alexei; Vassiliadis Stefanos,null,2001
Perspective for our partners: New Ventures: important concepts and theories,Makarevitch Alexei; Enkel Ellen,null,2001
Training for Knowledge Networks: Documentation,Vassiliadis Stefanos; Raimann Joerg; Seufert Andreas; Back Andrea; von Krogh G.,null,1 October 2000
MERLIN - Materializing Experiencing Refining and Learning in Knowledge Networks,Enkel Ellen; Raimann Joerg; Seufert Andreas; Vassiliadis Stefanos; Wicki Yvonne; Back Andrea; von Krogh G.,null,19 September 2000
Performance Measurement of Communities of Practice,Raimann Joerg; Koehne Marija; Seufert Andreas; Back Andrea; von Krogh G.,null,28 July 2000
Supporting Business Processes through Knowledge Management - A Technology-based Analysis,Raimann Joerg; Enkel Ellen; Seufert Andreas; Back Andrea; von Krogh G.,null,17 March 2000
Knowledge Networks - A Tools Perspective,Raimann Joerg; Koehne Marija; Seufert Andreas; Back Andrea; von Krogh G.,null,1 January 2000
Dialogplattform Knowledge Management der Deutschen Bank AG (Internal Paper),Bendel Oliver; Stoller-Schai Daniel; Mergel Ines; Back Andrea,null,10 March 2000
Development Aspects and Supportive Factors in Knowledge Networks,Köhne M.; Enkel Ellen; Seufert Andreas; Back Andrea; Vonkrogh Georg,null,2000
Competing with Intellectual Capital: Theoretical Background,Back Andrea; Seufert Andreas; Vassiliadis Stefanos; von Krogh Georg,null,20 March 2000
Towards a Reference Model for Knowledge Networking,Seufert Andreas; Back Andrea; von Krogh G.,null,16 December 1999
Strategic Deployment of Networks for Knowledge Management: When to choose the Network Option,Vassiliadis Stefanos; Koehne Marija; Seufert Andreas; von Krogh G.; Back Andrea,null,17 March 2000
Dealing with Knowledge Assets,Vassiliadis Stefanos; Gysin Karl; Seufert Andreas; Back Andrea; von Krogh G.,null,1 January 1999
The Influence of Human Networks and Human Value Systems on Knowledge Sharing/Transfer Projects,Koehne Marija; Raimann Joerg; Seufert Andreas; von Krogh G.; Back Andrea,null,1 January 1999
Knowledge Networks: Linking Knowledge Management to Business Strategy,Vassiliadis Stefanos; Wicki Yvonne; Seufert Andreas; von Krogh G.; Back Andrea,null,1 January 1999
State of the Art des Management Supports Teil 1: Klassische Management Support Ansätze,Back Andrea; Seufert Andreas,null,4 March 1997
A Vision for Knowledge Networking,Seufert Andreas; Back Andrea; von Krogh G.,null,1 January 1999
Evaluation Report: Review of the Knowledge Management Activities in the Unilever Culinary Category,Back Andrea; von Krogh G.,null,1 August 1998
State of the Art des Management Supports Teil 2: Neuere Management Support Ansätze,Back Andrea; Seufert Andreas,null,4 March 1997
Computer Supported Cooperative Work im Fokus des Bankensektors,Back Andrea; Bauknecht K.; Morger O.; Tjoa A.,null,1 January 1997
Rollen Prozesse und Führung in der Digitalen Transformation: Ratgeber und Fallstudien zur Strategiearbeit für das digitale Zeitalter (Teil 2),Berghaus Sabine; Back Andrea,null,2016
Wie packen Unternehmen die Digitale Transformation an? (Teil 1),Berghaus Sabine; Back Andrea,null,2016
Employing Consumer IT in Operations: Will iPads Save Money Increase Efficiency and Raise User Satisfaction?,Sammer Thomas; Back Andrea; Brechbühl Hans,null,2014
Enterprise 2.0 - Nutzung & Handlungsbedarf im innerbetrieblichen B2B und B2C Kontext,Back Andrea; Friedel Dominik,null,1 October 2011
Atos: Towards Zero Email Company,Silic Mario; Back Andrea,null,2015
Mobile Business 2013 : Der Einfluss von Second Generation Enterprise Mobility auf die Value Chain von Unternehmen,Sammer Thomas; Back Andrea; Bessing Stefan,null,2013
The Race to the Top : Will a 'Bring Your Own Device' (BYOD) Policy Contribute to the Success of the Adidas Group?,Sammer Thomas; Back Andrea,null,2013
Demos von Anwendungen aus der Praxis und Forschungsergebnissen,Back Andrea; von Koenigsmarck Otfried,Knowledge Management Forum - von Semantic Enterprise über Competitive Intelligence bis zu Wissensmanagement,11 September 2012
Mobile Enterprise - bereit für den mobilen Wandel?,Egeli Martin; Back Andrea,IT business,28 April 2015
Aktuelle Trends in Enterprise Mobility,Sammer Thomas; Back Andrea,IT business,June 2012
Lean & agil: Social-Software,Back Andrea,Computerworld.ch,20 May 2014
Habilitation: "Beiträge der Daten- Informations- und Wissensverarbeitung zur Weiterentwicklung des Internen Rechnungswesens und Controllings".,Back Andrea,null,1 January 1993
Teamarbeit 2.0: Global - zeitgemäss - kompetent,Back Andrea,DATEV-Kongress 2012,7 September 2012
„Die Kinder üben eine Denkhaltung“,Back Andrea; Grüttner Arne,Personalwirtschaft - Das Magazin für den Job HR: Alter! So fördern und nutzen Sie die Talente erfahrener Mitarbeiter,January 2020
Social Media: What is Social Media and how will Social Media change our future working environment,Back Andrea,Workshop Zurich Insurance Company,20 August 2012
Teamarbeit 2.0: Global - zeitgemäss - kompetent,Back Andrea,DATEV-Kongress 2012,20 July 2012
Digital-Entrepreneurship-Werkstatt:Ein Start-up Baukasten für das Klassenzimmer,Grüttner Arne; Back Andrea,bildung+ schule digital,May 2020
Die Welt wird digital,Back Andrea,DATEV magazin,July 2016
Mobile Learning App - Wie hätten Sie denn gerne Ihren intelligenten Lerncoach?,Back Andrea; Henestrosa Alexandra,Swiss eLearning Conference,18 April 2012
Tablet Books: Your Courses' Material in Harry Potter Newspaper Style,Back Andrea,eduhub days 2012 - Learning Café Lungo,3 April 2012
Ich bin drin - im Web 2.0! Meine Arbeitspraxis 2.0.,Back Andrea,Tag der Informatik an der Christian-Albrechts-Universität Kiel,2 December 2011
Barrieren am Weg zum Mobile Contactless Payment Eine Marktanalyse und Bestandsaufnahme der Situation in der Schweiz,Back Andrea,MKWI 2012,1 March 2012
Assessing Degrees of Web-2.0-ness: Model and Results for Product Websites in the Pharma-Industry,Back Andrea; Haager Christoph,24th Bled eConference,14 June 2011
Social Media in Universities,Back Andrea,24th Bled eConference,14 June 2011
Alles Technik oder was? Wenn IT-Trends aufs Business treffen,Back Andrea,netzEvent IT-Markt Report 2012,22 March 2012
Hürden gibt es nur im Kopf - Schweizer Unternehmen mit Vorsprung auf dem Weg zur Enterprise 2.0,Back Andrea,Swiss eEconomy Forum,5 March 2012
Towards a Framework for Business Model Design of Scientific Journals with Web 2.0 Principles,Back Andrea,MCIS,4 September 2011
Von einer die auszog in der Cloud zu arbeiten: Ein Erfahrungsbericht …,Back Andrea,ASUT Seminar,9 June 2011
Social Media im Unternehmenskontext und in der Arbeit,Back Andrea,EMBE-Modul 9,23 May 2011
Social Media Update: Objectives and Trends,Back Andrea,International Key Account Manager Workshop Bayer Business Services,25 October 2010
Enterprise 2.0 für das Management,Back Andrea,EMBE-Modul 9,23 May 2011
Enterprise 2.0-Fallstudien - Aus Erfahrung lernen,Back Andrea; Koch Michael,12. KnowTech 2010,16 September 2010
Arbeitsplatz der Zukunft Innovationsvortrag,Back Andrea,Bereichstag Regionalvertrieb der Datev e.G.,28 October 2010
Videobasiertes Workplace Learning - Auf dem Siegeszug 2.0,Back Andrea,Swiss eLearning Conference,6 April 2011
Do LMS have a Future? A conversation between criticism and defence of today's LMS,Back Andrea,Eduhub days 2011,23 March 2011
Reifegrad-Modell und Methode zur Beurteilung des Vorbereitungsgrads von Organisationen für die Einführung von Kollaboration 2.0,Back Andrea,12. KnowTech 2010,15 September 2010
Silo-Breaking through Open (e-)Cooperation - Zusammenarbeit von Hochschullehre und Unternehmenspraxis,Back Andrea,GML 2010,11 March 2010
2.0 Upgradings in Project Management - Opportunities and Risks Through Wiki-Way- and (Micro)Blogging Practices,Back Andrea,4th SAP Globalization Symposium 2010,21 June 2010
Online-Video im E-Learning von Unternehmen - Bedeutung Fallbeispiele Didaktik Produktion sowie Distribution mit Social Media,Back Andrea,Fachseminar,12 August 2010
Welche Kompetenzen in der digitalen Welt 2020 gebraucht werden,Back Andrea,9. Zukunftskongress des 2b AHEAD ThinkTanks,16 June 2010
Web-Video zur Wissenskommunikation,Back Andrea,OpenSpace an der Swiss eLearning Conference,13 April 2010
Twitter - Begegnung mit altbekannten Lernsituationen,Back Andrea,Learntec 2010,4 February 2010
Mit Medienkompetenz zum Studierendenerlebnis,Back Andrea,Campus Innovation,26 November 2009
Videobasiertes E-Learning auf dem Siegeszug 2.0,Back Andrea,Jubiläumskonferenz Livesession time4you,24 November 2009
Stossrichtungen für Kundenbeziehungen in Web-2.0-Kultur,Back Andrea,7. IT-Anlass Helsana,20 November 2009
Was kann die Hochschule aus der Unternehmenspraxis lernen? (per Videokonferenz),Back Andrea,76. BundesDekaneKonferenz,23 October 2009
Business 2.0 - Die Triebfedern des partizipativen Web für Business-Innovation,Back Andrea,20 Jahre IWI - IWI Update,18 September 2009
Differences in ERP Implementations in India & Western Europe,Talwar Manish; Back Andrea,AMCIS,9 August 2009
Revolutionäre Trends in der Zusammenarbeit: The wiki way the twitter way the open innovation way,Back Andrea,TA SWISS,23 September 2009
Enterprise Work 2.0: So arbeiten Profis im Netz - und ich?,Back Andrea,Donna Informatica - Last Monday,29 July 2009
Enterprise Work 2.0: So arbeiten Profis im Netz ... und ich? Persönliche Standortbestimmung,Back Andrea,Last Monday - Donna Informatica,29 June 2009
Web-based Open Innovation: Wie Online-Gemeinschaften Dienstleistungen Produkte und Wissen produzieren,Back Andrea,Edu Media Fachtagung,5 May 2009
Web-based Open Innovation - "What‘s Your Strategy for Creating Knowledge Products and Services with Online Communities?",Back Andrea,4. SWISS KM Tool Day,19 March 2009
The Emergence and Impact of Web 2.0,Back Andrea,Focus on social media,3 March 2009
Produktivität von Wissensarbeit 2.0: Traumhaft oder traumatisch,Back Andrea,LEARNTEC,3 February 2009
Web 2.0 und Social Media im Unternehmenskontext: Einführung mit Erklärungen und Beispielen für Einsteiger,Back Andrea,Focus on social media,3 March 2009
Zeit für kreative Verdrängung des Althergebrachten im betrieblichen E-Learning: Disruptive Innovation,Back Andrea,Swiss eEducation Forum info society days 2009,2 March 2009
Open Educational Resources in der Web-2.0 Bewegung: Facetten der Freiheit zu Lehr-/Lernmaterialien beizutragen und diese zu nutzen,Back Andrea,Swiss Forum for Educational Media (SFEM 2007),15 November 2007
Wikis Blogs & Co. - neue Kommunikations- und Organisationsformen im Gesundheitswesen,Back Andrea,Web 2.0 und eLearning,6 November 2007
Lernkurve von 1.x nach 2.x - Erkenntnisse nach 100 Tagen Wissensblog,Back Andrea,Web 2.0 im Unternehmen: Praxislösungen konkret und anschaulich,10 April 2008
Einführung in das Thema,Back Andrea,Seminar "Weblogs Wikis Podcasts & Co. - Wissenstransfer der nächsten Generation",25 October 2007
Praxisberichte aus dem Competence Network Business 2.0,Back Andrea; Haentschel-erhart Irene,Seminar "Weblogs Wikis Podcasts & Co. - Wissenstransfer der nächsten Generation",25 October 2007
Strategy Map und Scorecard für E-Learning Initiativen,Back Andrea,Effektivität und ROI in der betrieblichen Weiterbildung,20 September 2007
Sind Sie up-to-date? Übersicht über moderne Kommunikationsmittel und ihre praktische Anwendung,Back Andrea,Akte 07 Symposium Know-how Transfer und angwandtes E-Learning im öffentlichen Dienst,10 May 2007
Wissensnetzwerke in Unternehmen - mit Technik und Pragmatismus zum Erfolg,Back Andrea,Learntec 07,15 February 2007
Lerntagebuch als Weblog innovativ umgesetzt,Back Andrea,HDZ'mittag,8 February 2007
Weblogs und Wikis in der Hochschullehre: ein Erfahrungsbericht,Back Andrea,Gastvortrag an der Pädagogischen Hochschule,13 July 2006
eCollaboration Goes Web 2.0 - Von den Basistechnologien zu den Trends effektiver verteilter Zusammenarbeit,Back Andrea,TelekomForum - KompetenzTag Collaboration,1 February 2007
Unterwegs auf der Formel 1-Rennstrecke der e-Learning-Innovationen,Back Andrea,Zukunft E-Learning - E-Learning-Strategie und didaktische Implikationen,4 December 2006
Unterwegs auf der Formel1-Rennstrecke der E-Learning-Innovationen,Back Andrea,Zukunft E-Learning: E-Learning-Strategie und didaktische Implikationen,4 December 2006
Trends im E-Learning - Chancen die es zu nutzen gilt,Back Andrea,akte 06 - Know-how Transfer und angewandtes e-Learning im Gesundheitswesen,20 October 2006
eLearning 2.0: Web-Architekturen des Mitwirkens laden Sie ein,Back Andrea,eLearning an der LFUI - Rückblick und Ausblick,28 September 2006
Impulsvortrag "Persönliche Wissensarbeit",Back Andrea,SKMF-Herbstevent 2006,14 September 2006
HSG Business Engineering Research Program,Back Andrea,IS Seminar City University of Hong Kong,7 March 2006
E-Learning im Unternehmen,Back Andrea,CIO-Meeting,6 March 2006
Lernen am Puls der Zeit gestalten,Back Andrea,e-Learning Castle-Forum,1 November 2005
How work is changing in the Information Age,Back Andrea,SMU City Campus Lee Kong Chian School of Business,28 February 2006
Das interne Geschäftsmodell für betriebliche Bildung - Herausforderungen und Entwicklungstendenzen,Back Andrea,6. CCEC-Workshop "Geschäftsmodelle im E-Learning",29 June 2005
Return on E-Learning Investment,Back Andrea,3. E-Learning Tagung der Medizinischen Fakultät der Universität Zürich,4 March 2005
Progettare il proprio lavoro attraverso una formazione efficace on-line,Back Andrea,Professionisti della Salute educare al miglioramento e alla ricerca,28 January 2005
Einführung,Back Andrea,Knowledge Worker Productivity: Von Investitionen in Lernen und Wissen zu messbaren Geschäftsresultaten Seminar Learning Center,18 November 2004
Schöne neue Arbeitswelt: Die Rolle von E-Tools für Ihre Informations- und Wissensarbeiter,Back Andrea,Keynote an der eHealthCare.ch04 Konferenz,12 October 2004
Beiträge des BSC-Ansatzes zur strategischen Verankerung von E-Learning im Unternehmen,Back Andrea,E-Learning Workshop "Einsatzkonzepte und Geschäftsmodell",27 September 2004
Paving the Way to Corporate e-Learning Adoption and Sustainability,Back Andrea,I-KNOW '04,1 July 2004
E-Learning quo vadis? Innovationsrichtungen veranschaulicht am St. Galler E-Learning Referenzmodell,Back Andrea,Media Design Center der TU Dresden,13 May 2004
Implementierung von Wissensmanagement-Systemen und -Netzwerken,Back Andrea,Seminar an der Akademie für öffentliche Verwaltung des Freistaates Sachsen,12 May 2004
E-Learning industry updates & recommendations,Back Andrea,Global Cumputer Training Services Conference,24 March 2004
Die praktische Umsetzung von Blended-Learning-Angeboten in der betrieblichen Aus- und Weiterbildung,Back Andrea,Forum "Blended Learning" der Frey Akademie,3 April 2004
E-Learning Balanced Scorecard,Back Andrea,5. IT-Kongress der Know How! AG,23 March 2004
Lerneffektivität im Licht der Geschäftsziele: HR-Balanced Scorecard,Back Andrea,Learntec 2004,11 February 2004
Corporate eLearning and Knowledge Management: Will convergence bridge the gaps?,Back Andrea,LoD Meeting,16 February 2004
St.Galler Referenzmodell: Strategie und Methoden für Lernprozesse,Back Andrea,Opening 2004 der e/t/s didactic media im Rahmen der Learntec,10 February 2004
Erfolgreiche E-Learning-Anwendungsfelder - jetzt und in der Zukunft,Back Andrea,LERNET-Konferenz,2 December 2003
Insights from taking a business engineering perspective on corporate eLearning,Back Andrea,Guide Executive Club,1 October 2003
Der rechte Umgang mit Stakeholdern,Back Andrea,SCIL Congress,8 October 2003
Vorbereitungsgrad von Unternehmen für E-Learning,Back Andrea,Moderation Fragebogenauswertung via Centra für "KMU-Wissen: Weiterbildung Online",1 October 2003
E-Meetings im Überblick: Eine Einführung,Back Andrea,E-Meetings in die Arbeits- und Lernkultur integrieren Seminar Learning Center,8 May 2003
Die Rolle des CLO,Back Andrea,CNO-Panel No. 3,26 November 2003
Strategische Ausrichtung von E-Learning,Back Andrea,KMU-Wissen: Weiterbildung Online,1 October 2003
Vom Wissensmanagement zum Wissensnetzwerk,Back Andrea,Kongress "lernlandschaften",1 October 2003
E-Learning strategisch verankern,Back Andrea,IOP-Fachtagung,4 September 2003
Wissensmanagement IKT-Systeme und -Tools,Back Andrea,Seminar "St. Galler Wissensmanagement" 2002,1 October 2002
Zwischen Euphorie und Ernüchterung: Wie entwickelt sich Collaborative Communication via Intranet und Extranet,Back Andrea,e-Education,1 May 2003
E-Learning im Unternehmen: Vom Kursprojekt zum Reengineering der Bildungsprozesse,Back Andrea,4. BIBB-Fachkongress 2002,24 October 2002
Wissensmanagement und -Tools,Back Andrea,Blockwoche Informationsmanagement Intensivstudium KMU,1 October 2002
Zum Verhältnis von eLearning und Wissensmanagement in Unternehmen,Back Andrea,GI-Jahrestagung,1 October 2002
Wissensmanagement,Back Andrea,Kernprogramm Information Management EMBA an der Universität Zürich,13 March 2002
Chief-Learning-Officer-Projektagenda 200x,Back Andrea,GI-Jahrestagung Oktober 2002,1 October 2002
Skill-Management: Heutiger Erkenntnisstand,Back Andrea,bbz-Forum "Skill-Management - Voraussetzung zur Weiterentwicklung des Unternehmens",1 October 2002
eCollaboration,Back Andrea,Kernprogramm Information Management EMBA an der Universität Zürich,13 March 2002
Podiumsdiskussion "Deutschland - Entwicklerstandort oder Entwicklungsland?" geleitet von Dr. H.-H. Kappel; weitere Mitwirkende Prof. Dr. H.-L. Grob Prof. Dr. M. Zitterbart F. Milius Armin Hopp.,Back Andrea,Learntec,7 February 2002
eLearning im Unternehmen: Lessons Learned und Erfahrungslücken,Back Andrea,Learntec,7 February 2002
Interview zu E-Learning im Unternehmen im Learntec-Studio,Back Andrea,Learntec vom 06.02. bis 08.02.02,6 February 2002
RING-Workshop zum Thema "Wissensmanagement" bei Radio DRS,Back Andrea,null,18 December 2001
e-Welt: Wissensmanagement,Back Andrea,SKU Fokus Seminare: Elemente der ganzheitlichen Unternehmensführung,3 October 2001
e-Learning-Projekte: Lernen via e-Training und e-Collaboration,Back Andrea,Leitung und Einführung Weiterbildungsseminar HSG,25 September 2001
Basis-Workshop Wissensmanagement (WM),Back Andrea,Wissensmanagement,5 October 2001
Neue Aspekte des Informationsmanagements,Back Andrea,Neue Aspekte des Informationsmanagements Workshop Wissensmanagement: Wege in die Wissensgesellschaft,9 November 2000
Wissensnetzwerke: Ihr Beitrag zum persönlichen und Unternehmenswachstum,Back Andrea,Siemens KAuDz,1 March 2001
E-Learning strategisch! Balanced Scorecard: Strategieinstrument für E-Learning,Back Andrea,4. Fachtag Online Lernen,20 September 2001
IT und Wissensmanagement: Freude oder Feinde?,Back Andrea,Kunden-Event Fritz&Maziol,19 September 2001
Wissensmanagement in KMU,Back Andrea,Blockwoche Informationsmanagement Intensivstudium KMU,14 September 2001
eLearning als Herausforderung für die Personal- und Organisationsentwicklung,Back Andrea,Symposium "eLearning für Finanzdienstleister",17 July 2001
Corporate E-Learning: Strategic Issues,Back Andrea,Vortrag am Graduiertenkolleg New Media in Education,1 June 2001
Knowledge Management und E-Learning,Back Andrea,Seminar "St. Galler Wissensmanagement",14 November 2000
E-Learning als Wachstumsmarkt: Zahlen Fakten und Beispiele,Back Andrea,Pressekonferenz "Preisrutsch ebnet E-Learning den Weg",2 November 2000
e-Learning-Projekte: Neue Möglichkeiten durch vernetztes Lernen. Konzepte - Geschäftsmodelle - Erfahrungen,Back Andrea,Leitung und Einführung Weiterbildungsseminar HSG,28 September 2000
Wissensmanagement und IT-Technologie - eine häufig missverstandene Beziehung,Back Andrea,BMW Forum Zukunft,6 July 2000
Knowledge Networks und Knowledge Management Technologien,Back Andrea,Gastvortrag an der Universität Bamberg,27 June 2000
High-Tech Teaching in a Semi-Virtual CEMS Course: Experiences with Collaborative Learning in Action,Back Andrea,Forum sur l'enseignement de la gestion et les nouvelle technologies de la communication et de l'information,18 May 2000
Knowledge Management und Knowledge Portale: Konzepte und Trends,Back Andrea,AGI IT Services AG ERFA Workshop,11 April 2000
Technologie und Mensch im Wissensmanagement,Back Andrea,2. Österreichischer Wissensmanagement-Kongress,21 March 2000
Knowledge Networking: Von der Vision zum Business Case,Back Andrea,Symposium "Wenn Ihre Firma wüsste was Ihre Firma weiss: Knowledge Management / Business Intelligence",1 January 2000
Aufbau einer massgeschneiderten IT-Architektur für das Wissensmanagement,Back Andrea,2. Österreichischer Wissensmanagement-Kongress,1 March 2000
Lernen in der Wissensgesellschaft: Paradigmenwechsel für die betriebliche Bildung,Back Andrea,1. Fachtagung zum Thema die lernende Gesellschaft oder Wissensmanagement im 21. Jahrhundert,20 October 1999
Trend-Landkarte: Unternehmen im Informationszeitalter Groupware-Tutorial1,Back Andrea,Blockwoche Informationsmanagement Intensivstudium KMU,14 September 1999
Kooperatives Lernen im Internet,Back Andrea,Leitung Weiterbildungsseminar HSG,1 September 1999
Szenario Bildungslandschaft 2005,Back Andrea,Fachtagung Web Based Training: Universelles Lernen an Fachhochschulen und Universitäten,22 April 1999
Management Support Systeme im Informationszeitalter,Back Andrea,Refresher 1/99: Unternehmungsführung in turbulenter Zeit,17 March 1999
Groupware im Kontext problemorientierter Computing Workspaces,Back Andrea,Executive Study Program Master of Business Engineering,11 January 1999
Einführung und Leitung 1. Block 2. Woche: "Applikationen" Groupware und Knowledge Management,Back Andrea,Executive Study Program Master of Business Engineering Universität St. Gallen,5 January 1999
Workshop Virtual Academia: Developments in new technology platforms,Back Andrea,the 10th annual meeting CEMS (Community of European Management Schools),27 November 1998
Learning Communities im Inter-/Intranet,Back Andrea,Eröffnungsfeier HAAS & PARTNER Glattzentrum,12 November 1998
Collaborative Learning in Action: Management Education at the University of St. Gallen,Back Andrea; Seufert Sabine; Seufert Andreas,Lotusphere '98,21 September 1998
Potentiale der neuen Medien in der Ausbildung: 7 Thesen,Back Andrea,2. Veranstaltung des Nachdiplomstudiums Informatik und Telekommunikation NDIT/FPIT,20 August 1998
Wirtschaftlichkeitsanalysen im IV-Bereich,Back Andrea,Blockwoche Informationsmanagement Intensivstudium KMU,2 June 1998
Strategisches Management & Informations- und Kommunikationstechnologien (IKT) insbesondere Knowledge Management,Back Andrea,MSM Seminar,12 May 1998
Knowledge Management: Concepts and Technologies,Back Andrea,Lotus Gold Seminar,22 April 1998
Teamzentrierte Lernumgebungen: Beispiele und Erfahrungen mit Lehrveranstaltungen an der Universität St. Gallen,Back Andrea,CHIP '98,23 January 1998
The Knowledge Creation Company: Strategisches Management & IKT,Back Andrea; Seufert Andreas,Seminar Wissensmanagement: Technologische Potentiale organisatorische Anforderungen und Erfahrungen,16 April 1998
